ISBN,Título,Precio,Autores,Colecciones,Editoriales,Series,Fecha de venta,Formato,Páginas,Nombre Imagen
9788413341330,BERSERK: GUIA OFICIAL,15.95,Varios autores,CÓMIC MANGA,Panini Comics,BERSERK: GUIA OFICIAL,31/10/2019,Rústica,200,berserk_guia.jpg
9788418061363,ACT-AGE 01,8.0,"Shiro Usazaki, Tatsuya Matsuki",CÓMIC MANGA,Ivréa,ACT-AGE,31/10/2019,Rústica con sobrecubierta,200,act-age.jpg
9788434242319,DODOMO IN WONDERLAND 04: LA MASCARA SECRETA DE LA SACERDOTISA,15.5,"Fullmetal Fay, Leon Image",CÓMIC MANGA,Parramón,DODOMO IN WONDERLAND,31/10/2019,Rústica con solapas,160,dodomo_4.jpg
9788467932560,AKIRA 01 (Edicion especial),19.95,Katsuhiro Otomo,CÓMIC MANGA,NORMA Editorial,AKIRA (Edicion especial),31/10/2019,Rústica con sobrecubierta,350,akira_especial.jpg
9788494923753,V-WARS 01: LA REINA ESCARLATA,15.95,"Alan Robinson, Jonathan Maberry",CÓMIC USA,Drakul,V-WARS,31/10/2019,Rústica,120,v-wars.jpg
9788467938982,"YONA, LA PRINCESA DEL AMANECER 22",8.0,Mizuho Kusanagi,CÓMIC MANGA,NORMA Editorial,"YONA, LA PRINCESA DEL AMANECER",31/10/2019,Rústica con sobrecubierta,192,yona_22.jpg
9788417575533,EL VECINO. HISTORIAS,22.0,"Pepo Perez, Santiago García",CÓMIC EUROPEO,Astiberri,EL VECINO. HISTORIAS,31/10/2019,Cartoné,160,vecino.jpg
9788467937251,FIRE FORCE 14,8.0,Atsushi Ohkubo,CÓMIC MANGA,NORMA Editorial,FIRE FORCE,31/10/2019,Rústica con sobrecubierta,192,fire_force_14.jpg
9788416985098,PALIMPSESTO,18.0,Lisa Wool-Rim Sjöblom,CÓMIC EUROPEO,Barbara fiore editora,PALIMPSESTO,31/10/2019,Rústica con solapas,160,palimpsesto.jpg
9788467938333,FAIRY TAIL 100 YEARS QUEST No01,9.0,"Atsuo Ueda, Hiro Mashima",CÓMIC MANGA,NORMA Editorial,FAIRY TAIL 100 YEARS QUEST,31/10/2019,Rústica con sobrecubierta,192,fairy_tail_quest.jpg
9788467901085,THE UMBRELLA ACADEMY 02: DALLAS (Edicion rustica),16.0,"Gabriel Bá, Gerard Way",CÓMIC USA,NORMA Editorial,UMBRELLA ACADEMY,31/10/2019,Rústica,216,umbrella_2.jpg
9788467938074,BEATLESS 01 (Novela),25.0,Satoshi Hase,CÓMIC MANGA,NORMA Editorial,BEATLESS (Novela),31/10/2019,Rústica con solapas,412,beatless_novel.jpg
9788467937831,NORAGAMI 20,8.0,Adachitoka,CÓMIC MANGA,NORMA Editorial,NORAGAMI,31/10/2019,Rústica con sobrecubierta,192,noragami_20.jpg
9788417318536,KELLY GREEN,32.0,"Leonard Starr, Stan Drake",CÓMIC EUROPEO,Ponent Mon,KELLY GREEN,31/10/2019,Cartoné,272,kelly_green.jpg
9788467937657,POKEMON: OMEGA RUBI ALFA ZAFIRO 03,8.0,"Hidenori Kusaka, Satoshi Yamamoto",CÓMIC MANGA,NORMA Editorial,POKEMON OMEGA RUBI ALFA ZAFIRO,31/10/2019,Rústica con solapas,192,pokemon_omega_alfa.jpg
9788417294786,FRNCK 04: LA ERUPCION,14.0,"Brice Cossu, Oliver Bocquet",CÓMIC EUROPEO,Dibbuks,FRNCK,31/10/2019,Cartoné,60,frnck_4.jpg
9788467939231,ATAQUE A LOS TITANES 28,8.0,Hajime Isayama,CÓMIC MANGA,NORMA Editorial,ATAQUE A LOS TITANES,31/10/2019,Rústica con sobrecubierta,192,ataque_titanes_28.jpg
9788417989040,PAUL HA MUERTO: CUANDO LOS BEATLES PERDIERON A MCCARTNEY,18.0,"Ernesto Carbonetti, Paolo Baron",CÓMIC EUROPEO,Nuevo Nueve,PAUL HA MUERTO,31/10/2019,Cartoné,124,paul_muerto.jpg
9788467936971,HORIMIYA 12,8.0,"Daisuke Hagiwara, Hero",CÓMIC MANGA,NORMA Editorial,HORIMIYA,31/10/2019,Rústica con sobrecubierta,176,horimiya_12.jpg
9788467937046,BLACK CLOVER 13,8.0,Yuuki Tabata,CÓMIC MANGA,NORMA Editorial,BLACK CLOVER,31/10/2019,Rústica con sobrecubierta,192,_black_clover_13.jpg
9788467938746,ROUTE END 04,8.5,Kaiji Nakagawa,CÓMIC MANGA,NORMA Editorial,ROUTE END,31/10/2019,Rústica con sobrecubierta,192,route_end_4.jpg
